"location","indicator","Unit","Date","Value"
"Arizona","1 Adult","US $","2021","14.94"
"Arizona","1 Adult","US $","2022","17.43"
"Arizona","1 Adult 1 Child","US $","2016","23.15"
"Arizona","1 Adult 1 Child","US $","2018","24.56"
"Arizona","1 Adult 1 Child","US $","2019","25.16"
"Arizona","1 Adult 1 Child","US $","2020","29.79"
"Arizona","1 Adult 1 Child","US $","2021","29.01"
"Arizona","1 Adult 1 Child","US $","2022","32.23"
"Arizona","1 Adult 2 Children","US $","2016","29.74"
"Arizona","1 Adult 2 Children","US $","2018","30.24"
"Arizona","1 Adult 2 Children","US $","2019","31.24"
"Arizona","1 Adult 2 Children","US $","2020","35.24"
"Arizona","1 Adult 2 Children","US $","2021","35.11"
"Arizona","1 Adult 2 Children","US $","2022","39.15"
"Arizona","1 Adult 3 Children","US $","2016","38.82"
"Arizona","1 Adult 3 Children","US $","2018","39.33"
"Arizona","1 Adult 3 Children","US $","2019","40.43"
"Arizona","1 Adult 3 Children","US $","2020","46.53"
"Arizona","1 Adult 3 Children","US $","2021","45.59"
"Arizona","1 Adult 3 Children","US $","2022","52.04"
"Arizona","2 Adults (1 Working)","US $","2016","17.97"
"Arizona","2 Adults (1 Working)","US $","2018","18.72"
"Arizona","2 Adults (1 Working)","US $","2019","19.39"
"Arizona","2 Adults (1 Working)","US $","2020","25.24"
"Arizona","2 Adults (1 Working)","US $","2021","24.3"
"Arizona","2 Adults (1 Working)","US $","2022","26.74"
"Arizona","2 Adults (1 Working) 1 Child","US $","2016","22.67"
"Arizona","2 Adults (1 Working) 1 Child","US $","2018","23.09"
"Arizona","2 Adults (1 Working) 1 Child","US $","2019","23.98"
"Arizona","2 Adults (1 Working) 1 Child","US $","2020","29.03"
"Arizona","2 Adults (1 Working) 1 Child","US $","2021","28.69"
"Arizona","2 Adults (1 Working) 1 Child","US $","2022","32.22"
"Arizona","2 Adults (1 Working) 2 Children","US $","2016","25.33"
"Arizona","2 Adults (1 Working) 2 Children","US $","2018","25.79"
"Arizona","2 Adults (1 Working) 2 Children","US $","2019","26.61"
"Arizona","2 Adults (1 Working) 2 Children","US $","2020","33.8"
"Arizona","2 Adults (1 Working) 2 Children","US $","2021","32.42"
"Arizona","2 Adults (1 Working) 2 Children","US $","2022","37.82"
"Arizona","2 Adults (1 Working) 3 Children","US $","2016","28.84"
"Arizona","2 Adults (1 Working) 3 Children","US $","2018","29.7"
"Arizona","2 Adults (1 Working) 3 Children","US $","2019","31.18"
"Arizona","2 Adults (1 Working) 3 Children","US $","2020","37.14"
"Arizona","2 Adults (1 Working) 3 Children","US $","2021","36.13"
"Arizona","2 Adults (1 Working) 3 Children","US $","2022","42.5"
"Arizona","2 Adults (1 Working Part Time) 1 Child","US $","2016","13.19"
"Arizona","2 Adults","US $","2016","8.99"
"Arizona","2 Adults","US $","2018","9.36"
"Arizona","2 Adults","US $","2019","9.7"
"Arizona","2 Adults","US $","2020","12.62"
"Arizona","2 Adults","US $","2021","12.15"
"Arizona","2 Adults","US $","2022","13.37"
"Arizona","2 Adults 1 Child","US $","2016","13.19"
"Arizona","2 Adults 1 Child","US $","2018","13.51"
"Arizona","2 Adults 1 Child","US $","2019","13.98"
"Arizona","2 Adults 1 Child","US $","2020","16.11"
"Arizona","2 Adults 1 Child","US $","2021","15.99"
"Arizona","2 Adults 1 Child","US $","2022","17.88"
"Arizona","2 Adults 2 Children","US $","2016","16.27"
"Arizona","2 Adults 2 Children","US $","2018","16.54"
"Arizona","2 Adults 2 Children","US $","2019","17"
"Arizona","2 Adults 2 Children","US $","2020","20.09"
"Arizona","2 Adults 2 Children","US $","2021","19.51"
"Arizona","2 Adults 2 Children","US $","2022","22.45"
"Arizona","2 Adults 3 Children","US $","2016","19.86"
"Arizona","2 Adults 3 Children","US $","2018","20.17"
"Arizona","2 Adults 3 Children","US $","2019","20.99"
"Arizona","2 Adults 3 Children","US $","2020","23.35"
"Arizona","2 Adults 3 Children","US $","2021","23.01"
"Arizona","2 Adults 3 Children","US $","2022","26.56"
"Wisconsin","1 Adult","US $","2016","10.58"
"Wisconsin","1 Adult","US $","2018","11.41"
"Wisconsin","1 Adult","US $","2019","11.4"
"Wisconsin","1 Adult","US $","2020","14.36"
"Wisconsin","1 Adult","US $","2021","14.02"
"Wisconsin","1 Adult","US $","2022","16.4"
"Wisconsin","1 Adult 1 Child","US $","2016","23.62"
"Wisconsin","1 Adult 1 Child","US $","2018","24.67"
"Wisconsin","1 Adult 1 Child","US $","2019","25.31"
"Wisconsin","1 Adult 1 Child","US $","2020","30.68"
"Wisconsin","1 Adult 1 Child","US $","2021","30.17"
"Wisconsin","1 Adult 1 Child","US $","2022","33.25"
"Wisconsin","1 Adult 2 Children","US $","2016","31.25"
"Wisconsin","1 Adult 2 Children","US $","2018","29.33"
"Wisconsin","1 Adult 2 Children","US $","2019","30.32"
"Wisconsin","1 Adult 2 Children","US $","2020","38.32"
"Wisconsin","1 Adult 2 Children","US $","2021","38.61"
"Wisconsin","1 Adult 2 Children","US $","2022","42.69"
"Wisconsin","1 Adult 3 Children","US $","2016","40.28"
"Wisconsin","1 Adult 3 Children","US $","2018","36.41"
"Wisconsin","1 Adult 3 Children","US $","2019","37.37"
"Wisconsin","1 Adult 3 Children","US $","2020","50.69"
"Wisconsin","1 Adult 3 Children","US $","2021","50.3"
"Wisconsin","1 Adult 3 Children","US $","2022","56.91"
"Wisconsin","2 Adults (1 Working)","US $","2016","17.27"
"Wisconsin","2 Adults (1 Working)","US $","2018","18.52"
"Wisconsin","2 Adults (1 Working)","US $","2019","18.63"
"Wisconsin","2 Adults (1 Working)","US $","2020","23.78"
"Wisconsin","2 Adults (1 Working)","US $","2021","22.98"
"Wisconsin","2 Adults (1 Working)","US $","2022","25.35"
"Wisconsin","2 Adults (1 Working) 1 Child","US $","2016","21.98"
"Wisconsin","2 Adults (1 Working) 1 Child","US $","2018","21.9"
"Wisconsin","2 Adults (1 Working) 1 Child","US $","2019","22.76"
"Wisconsin","2 Adults (1 Working) 1 Child","US $","2020","27.44"
"Wisconsin","2 Adults (1 Working) 1 Child","US $","2021","27.26"
"Wisconsin","2 Adults (1 Working) 1 Child","US $","2022","30.62"
"Wisconsin","2 Adults (1 Working) 2 Children","US $","2016","24.49"
"Wisconsin","2 Adults (1 Working) 2 Children","US $","2018","24.54"
"Wisconsin","2 Adults (1 Working) 2 Children","US $","2019","25.31"
"Wisconsin","2 Adults (1 Working) 2 Children","US $","2020","32.16"
"Wisconsin","2 Adults (1 Working) 2 Children","US $","2021","30.98"
"Wisconsin","2 Adults (1 Working) 2 Children","US $","2022","36.34"
"Wisconsin","2 Adults (1 Working) 3 Children","US $","2016","27.06"
"Wisconsin","2 Adults (1 Working) 3 Children","US $","2018","27.28"
"Wisconsin","2 Adults (1 Working) 3 Children","US $","2019","28.67"
"Wisconsin","2 Adults (1 Working) 3 Children","US $","2020","34.08"
"Wisconsin","2 Adults (1 Working) 3 Children","US $","2021","33.24"
"Wisconsin","2 Adults (1 Working) 3 Children","US $","2022","39.41"
"Wisconsin","2 Adults (1 Working Part Time) 1 Child","US $","2016","13.39"
"Wisconsin","2 Adults","US $","2016","8.63"
"Wisconsin","2 Adults","US $","2018","9.26"
"Wisconsin","2 Adults","US $","2019","9.31"
"Wisconsin","2 Adults","US $","2020","11.89"
"Wisconsin","2 Adults","US $","2021","11.49"
"Wisconsin","2 Adults","US $","2022","12.67"
"Wisconsin","2 Adults 1 Child","US $","2016","13.39"
"Wisconsin","2 Adults 1 Child","US $","2018","13.52"
"Wisconsin","2 Adults 1 Child","US $","2019","13.99"
"Wisconsin","2 Adults 1 Child","US $","2020","16.48"
"Wisconsin","2 Adults 1 Child","US $","2021","16.51"
